id,host_id,neighbourhood_cleansed,room_type,latitude,longitude,price_clean,calculated_host_listings_count,availability_365,reviews_per_month,minimum_nights,commercialization_score,operator_type,high_confidence_commercial,signals_fired
18674,71615,la Sagrada Família,Entire home/apt,41.40556,2.17262,210.0,26,80,0.34,1,45.8,commercial,0,1
23197,90417,el Besòs i el Maresme,Entire home/apt,41.41243172529066,2.219750335269476,285.0,1,289,0.52,3,55.8,commercial,1,2
32711,135703,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,41.40566,2.17015,170.0,2,64,0.88,1,43.5,commercial,0,1
34241,73163,el Barri Gòtic,Entire home/apt,41.38062,2.17517,110.0,3,333,0.14,31,58.4,medium_term_home_rental,1,2
34981,73163,el Barri Gòtic,Entire home/apt,41.37978,2.17623,333.0,3,335,1.49,5,58.5,commercial,1,2
36763,158596,la Barceloneta,Private room,41.38043,2.19094,,1,89,0.64,31,14.8,medium_term_room_rental,0,0
40983,177617,la Dreta de l'Eixample,Entire home/apt,41.39631,2.16832,204.0,5,298,2.32,2,56.6,commercial,1,2
49968,135703,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,41.4057,2.17016,170.0,2,66,0.81,1,43.6,commercial,0,1
68547,340570,el Barri Gòtic,Entire home/apt,41.3806,2.17796,128.0,2,302,0.53,31,56.6,medium_term_home_rental,1,2
71520,366428,Vallcarca i els Penitents,Entire home/apt,41.41841,2.13307,315.0,1,268,0.01,5,54.7,commercial,1,2
71553,366654,la Dreta de l'Eixample,Entire home/apt,41.39705,2.17469,199.0,2,208,0.48,2,51.4,commercial,1,2
71736,368317,el Raval,Entire home/apt,41.38174,2.16663,70.0,8,350,0.06,31,59.6,medium_term_home_rental,1,2
72436,375625,el Poblenou,Entire home/apt,41.39909,2.20733,272.0,6,254,7.5,1,54.2,commercial,1,2
75411,400154,el Clot,Entire home/apt,41.40682,2.18649,153.0,10,72,0.79,3,44.4,commercial,0,1
80004,431839,el Poble Sec,Entire home/apt,41.37371,2.16706,126.0,1,101,1.18,5,45.5,commercial,0,1
83283,700165,Sant Antoni,Private room,41.38237,2.16146,82.0,4,6,0.76,3,10.5,casual,0,0
89776,3556337,la Dreta de l'Eixample,Entire home/apt,41.39224,2.17806,180.0,84,306,2.5,1,61.6,commercial,1,2
110041,396363,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,41.40271,2.16646,94.0,85,292,0.59,1,60.9,commercial,1,2
112538,567180,la Sagrada Família,Entire home/apt,41.40653,2.1746,437.0,6,92,0.82,1,45.3,commercial,0,1
128463,635253,Sants,Entire home/apt,41.37155,2.13664,140.0,1,317,2.76,3,57.4,commercial,1,2
135513,664196,el Poblenou,Entire home/apt,41.39787,2.20429,175.0,1,244,1.15,1,53.4,commercial,1,2
136670,610674,Pedralbes,Private room,41.38832,2.12201,45.0,3,292,0.85,32,26.1,medium_term_room_rental,0,1
144471,700165,Sant Antoni,Private room,41.38189,2.15857,81.0,4,6,0.24,3,10.5,casual,0,0
147275,711907,el Guinardó,Private room,41.42337,2.1749,17.0,2,240,1.07,31,23.2,medium_term_room_rental,0,1
171646,400154,el Clot,Entire home/apt,41.40671,2.18592,154.0,10,63,0.97,3,43.9,commercial,0,1
171816,400154,el Clot,Entire home/apt,41.40681,2.18553,154.0,10,65,1.15,3,44.0,commercial,0,1
174382,567180,la Sagrada Família,Entire home/apt,41.40653,2.17455,319.0,6,34,0.4,32,42.1,medium_term_home_rental,0,1
188267,366654,la Dreta de l'Eixample,Entire home/apt,41.39316177368164,2.175757884979248,339.0,2,307,0.8,2,56.9,commercial,1,2
196021,953719,l'Antiga Esquerra de l'Eixample,Entire home/apt,41.38842,2.16108,463.0,2,248,2.86,2,53.6,commercial,1,2
197267,632830,la Vila de Gràcia,Entire home/apt,41.40661,2.15115,41.0,3,89,2.18,31,45.0,medium_term_home_rental,0,1
198958,971768,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,41.40805,2.21487,500.0,10,57,0.84,2,43.6,commercial,0,1
206122,1013855,la Vila de Gràcia,Entire home/apt,41.39877,2.15887,191.0,3,260,1.91,4,54.3,commercial,1,2
206167,1014050,el Poble Sec,Entire home/apt,41.3724,2.1648,156.0,1,27,1.07,3,41.4,commercial,0,1
209673,1033366,la Vila de Gràcia,Entire home/apt,41.398,2.1553,129.0,1,220,2.42,2,52.0,commercial,1,2
234375,1227290,el Fort Pienc,Entire home/apt,41.39970016479492,2.1748878955841064,236.0,1,219,1.35,7,47.0,commercial,1,2
241614,1184485,el Barri Gòtic,Entire home/apt,41.37918,2.17733,101.0,1,365,0.36,31,60.0,medium_term_home_rental,1,2
242335,297885449,la Barceloneta,Entire home/apt,41.38113,2.18897,92.0,19,184,0.03,60,41.1,commercial,1,2
252232,1298586,Sant Martí de Provençals,Entire home/apt,41.41626,2.20149,257.0,6,86,0.87,2,45.0,commercial,0,1
255195,1310304,el Raval,Entire home/apt,41.3817,2.17195,50.0,47,289,0.16,32,58.5,medium_term_home_rental,1,2
256354,1348378,Vallcarca i els Penitents,Private room,41.413368225097656,2.138876914978028,30.0,2,71,0.46,31,13.9,medium_term_room_rental,0,0
265491,1392322,la Barceloneta,Private room,41.37722,2.18944,60.0,1,58,1.23,31,13.1,medium_term_room_rental,0,0
268017,1405013,la Dreta de l'Eixample,Entire home/apt,41.39268,2.17214,365.0,14,206,0.63,2,52.0,commercial,1,2
268022,1405013,la Dreta de l'Eixample,Entire home/apt,41.39184,2.17146,423.0,14,194,1.71,2,51.4,commercial,1,2
